Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,types_de_sols
Dakar,Mais,1990,36613,1485.0,121.0,16.37,Limoneux
Dakar,Pattate,1990,66667,1485.0,121.0,16.37,Limoneux
Dakar,Rice,1990,23333,1485.0,121.0,16.37,Limoneux
Dakar,Sorgho,1990,12500,1485.0,121.0,16.37,Argileux
Dakar,Mil,1990,7000,1485.0,121.0,16.37,Sableux
Dakar,Arachide,1990,30197,1485.0,121.0,16.37,Limoneux
Dakar,Mais,1991,29068,1485.0,121.0,15.36,Argileux
Dakar,Pattate,1991,77818,1485.0,121.0,15.36,Sableux
Dakar,Rice,1991,28538,1485.0,121.0,15.36,Sableux
Dakar,Sorgho,1991,6667,1485.0,121.0,15.36,Sableux
Dakar,Mil,1991,6066,1485.0,121.0,15.36,Sableux
Dakar,Arachide,1991,20698,1485.0,121.0,15.36,Limoneux
Dakar,Mais,1992,24876,1485.0,121.0,16.06,Sableux
Dakar,Pattate,1992,82920,1485.0,121.0,16.06,Sableux
Dakar,Rice,1992,40000,1485.0,121.0,16.06,Sableux
Dakar,Sorgho,1992,3747,1485.0,121.0,16.06,Limoneux
Dakar,Mil,1992,4507,1485.0,121.0,16.06,Limoneux
Dakar,Arachide,1992,24388,1485.0,121.0,16.06,Limoneux
Dakar,Mais,1993,24185,1485.0,121.0,16.05,Argileux
Dakar,Pattate,1993,98446,1485.0,121.0,16.05,Limoneux
Dakar,Rice,1993,41786,1485.0,121.0,16.05,Limoneux
Dakar,Mil,1993,7998,1485.0,121.0,16.05,Limoneux
Dakar,Arachide,1993,29976,1485.0,121.0,16.05,Argileux
Dakar,Mais,1994,25848,1485.0,201.0,16.96,Limoneux
Dakar,Pattate,1994,81404,1485.0,201.0,16.96,Argileux
Dakar,Mil,1994,7927,1485.0,201.0,16.96,Sableux
Dakar,Arachide,1994,24745,1485.0,201.0,16.96,Argileux
Dakar,Mais,1995,31300,1485.0,251.0,15.67,Argileux
Dakar,Pattate,1995,111323,1485.0,251.0,15.67,Limoneux
Dakar,Mil,1995,11791,1485.0,251.0,15.67,Argileux
Dakar,Arachide,1995,28703,1485.0,251.0,15.67,Argileux
Dakar,Mais,1996,32604,1485.0,313.96,15.64,Argileux
Dakar,Pattate,1996,106138,1485.0,313.96,15.64,Argileux
Dakar,Mil,1996,15480,1485.0,313.96,15.64,Argileux
Dakar,Arachide,1996,21741,1485.0,313.96,15.64,Limoneux
Dakar,Mais,1997,31862,1485.0,376.93,15.9,Limoneux
Dakar,Pattate,1997,109874,1485.0,376.93,15.9,Sableux
Dakar,Mil,1997,12768,1485.0,376.93,15.9,Argileux
Dakar,Arachide,1997,28516,1485.0,376.93,15.9,Limoneux
Dakar,Mais,1998,33416,1485.0,439.89,16.27,Argileux
Dakar,Pattate,1998,127212,1485.0,439.89,16.27,Argileux
Dakar,Mil,1998,14327,1485.0,439.89,16.27,Argileux
Dakar,Arachide,1998,28037,1485.0,439.89,16.27,Argileux
Dakar,Mais,1999,37455,1485.0,502.86,16.57,Argileux
Dakar,Pattate,1999,142018,1485.0,502.86,16.57,Argileux
Dakar,Mil,1999,17143,1485.0,502.86,16.57,Limoneux
Dakar,Arachide,1999,24954,1485.0,502.86,16.57,Argileux
Dakar,Mais,2000,38811,1485.0,565.82,16.67,Sableux
Dakar,Pattate,2000,141228,1485.0,565.82,16.67,Limoneux
Dakar,Mil,2000,15000,1485.0,565.82,16.67,Argileux
Dakar,Arachide,2000,30455,1485.0,565.82,16.67,Argileux
Dakar,Mais,2001,38135,1485.0,628.79,16.59,Argileux
Dakar,Pattate,2001,148818,1485.0,628.79,16.59,Argileux
Dakar,Mil,2001,20000,1485.0,628.79,16.59,Argileux
Dakar,Arachide,2001,28220,1485.0,628.79,16.59,Sableux
Dakar,Mais,2002,39460,1485.0,691.75,16.47,Argileux
Dakar,Pattate,2002,153868,1485.0,691.75,16.47,Sableux
Dakar,Mil,2002,20000,1485.0,691.75,16.47,Sableux
Dakar,Arachide,2002,31617,1485.0,691.75,16.47,Argileux
Dakar,Mais,2004,46197,1485.0,817.68,16.16,Limoneux
Dakar,Pattate,2004,149346,1485.0,817.68,16.16,Sableux
Dakar,Mil,2004,13333,1485.0,817.68,16.16,Limoneux
Dakar,Arachide,2004,31130,1485.0,817.68,16.16,Limoneux
Dakar,Mais,2005,45442,1485.0,880.64,15.67,Argileux
Dakar,Pattate,2005,167061,1485.0,880.64,15.67,Sableux
Dakar,Mil,2005,17500,1485.0,880.64,15.67,Limoneux
Dakar,Arachide,2005,31582,1485.0,880.64,15.67,Argileux
Dakar,Mais,2006,50111,1485.0,943.61,15.92,Limoneux
Dakar,Pattate,2006,170745,1485.0,943.61,15.92,Limoneux
Dakar,Mil,2006,20000,1485.0,943.61,15.92,Limoneux
Dakar,Arachide,2006,30787,1485.0,943.61,15.92,Limoneux
Dakar,Mais,2007,46732,1485.0,1006.57,16.67,Limoneux
Dakar,Pattate,2007,188902,1485.0,1006.57,16.67,Limoneux
Dakar,Mil,2007,20000,1485.0,1006.57,16.67,Sableux
Dakar,Arachide,2007,35496,1485.0,1006.57,16.67,Sableux
Dakar,Mais,2008,50000,1485.0,1069.54,16.71,Sableux
Dakar,Pattate,2008,193878,1485.0,1069.54,16.71,Sableux
Dakar,Mil,2008,20000,1485.0,1069.54,16.71,Sableux
Dakar,Arachide,2008,40168,1485.0,1069.54,16.71,Argileux
Dakar,Mais,2009,55693,1485.0,1132.5,16.73,Limoneux
Dakar,Pattate,2009,219780,1485.0,1132.5,16.73,Argileux
Dakar,Mil,2009,16667,1485.0,1132.5,16.73,Limoneux
Dakar,Arachide,2009,40229,1485.0,1132.5,16.73,Limoneux
Dakar,Mais,2010,66790,1485.0,1311.17,16.52,Sableux
Dakar,Pattate,2010,231111,1485.0,1311.17,16.52,Limoneux
Dakar,Mil,2010,16667,1485.0,1311.17,16.52,Limoneux
Dakar,Arachide,2010,39905,1485.0,1311.17,16.52,Limoneux
Dakar,Mais,2011,59869,1485.0,1302.63,16.45,Argileux
Dakar,Pattate,2011,242211,1485.0,1302.63,16.45,Limoneux
Dakar,Mil,2011,18519,1485.0,1302.63,16.45,Sableux
Dakar,Arachide,2011,42301,1485.0,1302.63,16.45,Limoneux
Dakar,Mais,2012,67290,1485.0,766.25,16.7,Limoneux
Dakar,Pattate,2012,250538,1485.0,766.25,16.7,Limoneux
Dakar,Mil,2012,13333,1485.0,766.25,16.7,Sableux
Dakar,Arachide,2012,41096,1485.0,766.25,16.7,Argileux
Dakar,Mais,2013,69533,1485.0,982.32,17.41,Limoneux
Dakar,Pattate,2013,260110,1485.0,982.32,17.41,Sableux
Dakar,Mil,2013,10000,1485.0,982.32,17.41,Sableux
Dakar,Arachide,2013,41292,1485.0,982.32,17.41,Argileux
Dakar,Mais,1990,16500,89.0,1828.92,17.48,Limoneux
Dakar,Pattate,1990,78936,89.0,1828.92,17.48,Sableux
Dakar,Rice,1990,28000,89.0,1828.92,17.48,Sableux
Dakar,Sorgho,1990,16571,89.0,1828.92,17.48,Sableux
Dakar,Arachide,1990,6315,89.0,1828.92,17.48,Argileux
Dakar,Mais,1991,19231,89.0,2461.8,16.26,Argileux
Dakar,Pattate,1991,90747,89.0,2461.8,16.26,Argileux
Dakar,Rice,1991,26786,89.0,2461.8,16.26,Sableux
Dakar,Sorgho,1991,24231,89.0,2461.8,16.26,Limoneux
Dakar,Arachide,1991,10809,89.0,2461.8,16.26,Argileux
Dakar,Mais,1992,22828,89.0,1215.47,16.27,Limoneux
Dakar,Pattate,1992,107917,89.0,1215.47,16.27,Limoneux
Dakar,Rice,1992,24733,89.0,1215.47,16.27,Limoneux
Dakar,Sorgho,1992,40000,89.0,1215.47,16.27,Argileux
Dakar,Arachide,1992,9939,89.0,1215.47,16.27,Argileux
Dakar,Mais,1993,12500,89.0,1021.89,17.0,Sableux
Dakar,Pattate,1993,111215,89.0,1021.89,17.0,Sableux
Dakar,Rice,1993,23111,89.0,1021.89,17.0,Argileux
Dakar,Sorgho,1993,50000,89.0,1021.89,17.0,Sableux
Dakar,Arachide,1993,8097,89.0,1021.89,17.0,Argileux
Dakar,Mais,1994,4512,89.0,1255.02,17.88,Limoneux
Dakar,Pattate,1994,95078,89.0,1255.02,17.88,Sableux
Dakar,Rice,1994,21374,89.0,1255.02,17.88,Limoneux
